"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"172","Súkkulaði",15,"iOS","Með strætó",6,"Ketti","Rétt",9,995,1816,"Á kaffihús",180,"Rétt"
"173","Jarðaberja",65,"iOS","Með strætó",2,"Hunda","Rétt",3,500,1700,"Á kaffihús",176,"Rétt"
"174","Vanilla",6,"iOS","Með einkabíl",2,"Hunda","Rétt",8,800,1769,"Á ísrúnt",169,"Rétt"
"175","Jarðaberja",10,"iOS","Með einkabíl",3,"Hunda","Rétt",8,450,452,"Á ísrúnt",162,"Rétt"
"176","Vanilla",40,"iOS","Með strætó",1,"Ketti","Rétt",4,500,1769,"Á kaffihús",155,"Rétt"
"177","Súkkulaði",22,"iOS","Með einkabíl",1,"Ketti","Rétt",6,789,1763,"Á kaffihús",168,"Rétt"
"178","Súkkulaði",4,"Android","Með einkabíl",2,"Ketti","Rétt",8,700,1769,"Á kaffihús",169,"Rétt"
"179","Vanilla",20,"Android","Með strætó",4,"Ketti","Rétt",9,1000,1765,"Á kaffihús",166,"Rétt"
"180","Súkkulaði",40,"Android","Með strætó",2,"Hunda","Rétt",8,1100,1729,"Á ísrúnt",164,"Rangt"
"181","Súkkulaði",16,"iOS","Með einkabíl",5,"Hunda","Rétt",8,760,1769,"Á kaffihús",169,"Rétt"
"182","Súkkulaði",30,"iOS","Með einkabíl",2,"Hunda","Rétt",6,359,1457,"Á kaffihús",157,"Rangt"
"183","Vanilla",40,"Android","Með strætó",2,"Ketti","Rétt",8,499,1800,"Á ísrúnt",170,"Rangt"
"184","Jarðaberja",5,"iOS","Gangandi / skokkandi",1,"Ketti","Rétt",7,599,1749,"Á kaffihús",167,"Rangt"
"185","Súkkulaði",45,"iOS","Með strætó",3,"Hunda","Rétt",6,677,1769,"Á kaffihús",169,"Rangt"
"186","Súkkulaði",30,"iOS","Með strætó",2,"Hunda","Rétt",8,300,1812,"Á kaffihús",170,"Rétt"
"187","Jarðaberja",35,"Android","Með einkabíl",3,"Hunda","Rétt",9,350,1830,"Á kaffihús",90,"Rétt"
